name,date,lsp_name,lsp_type,orbit,location,pad_name,Latitude,Longitude,location_launch_attempt_count,pad_launch_attempt_count,agency_launch_attempt_count,location_launch_attempt_count_year,pad_launch_attempt_count_year,agency_launch_attempt_count_year,image,landing,mission_type
Soyuz 2.1b | Lotos-S1,2021-02-02,Russian Space Forces,Government,LEO,"Plesetsk Cosmodrome, Russian Federation",43/4 (43R),62.92883,40.457098,1642,304,116,1,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/soyuz_2.1b_image_20230802085331.jpg,,Government/Top Secret
Long March 4C | Yaogan-31-02,2021-01-29,China Aerospace Science and Technology Corporation,Government,,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 4 (SLS-2 / 603),40.960482,100.298059,136,71,306,1,1,2,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long_march_4c_image_20230801172338.jpeg,,
Falcon 9 Block 5 | Transporter 1 (Dedicated SSO Rideshare),2021-01-24,SpaceX,Commercial,SSO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,813,119,120,2,2,3,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20210122224307.jpeg,OCISLY,Dedicated Rideshare
Falcon 9 Block 5 | Starlink 16,2021-01-20,SpaceX,Commercial,LEO,"Kennedy Space Center, FL, USA",Launch Complex 39A,28.60822681,-80.60428186,183,126,119,1,1,2,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20210111072734.png,JRTI,Communications
Electron | Another One Leaves The Crust,2021-01-20,Rocket Lab,Commercial,PO,"Onenui Station, Mahia Peninsula, New Zealand",Rocket Lab Launch Complex 1A,-39.262833,177.864469,18,18,18,1,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/electron_image_20190705175640.jpeg,,Communications
Long March 3B/E | Tiantong-1-03,2021-01-19,China Aerospace Science and Technology Corporation,Government,GTO,"Xichang Satellite Launch Center, People's Republic of China",Launch Complex 2 (LC-2),28.245564,102.026751,152,90,305,1,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march25203_image_20190224025008.jpeg,,Communications
LauncherOne | Launch Demo 2,2021-01-17,Virgin Orbit,Commercial,PO,Air launch to orbit,Mojave Air and Space Port,35.059444,-118.151667,46,2,2,1,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/launcherone_image_20200101110016.jpeg,,Dedicated Rideshare
New Shepard | NS-14,2021-01-14,Blue Origin,Commercial,Sub,"Corn Ranch, Van Horn, TX, USA",West Texas Suborbital Launch Site/ Corn Ranch,31.422878,-104.757121,14,14,14,1,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/new2520shepard_image_20190207032624.jpeg,CR,Suborbital
Falcon 9 Block 5 | Türksat 5A,2021-01-08,SpaceX,Commercial,GTO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,812,118,118,1,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20210107183433.jpeg,JRTI,Communications
Soyuz STA/Fregat | CSO-2,2020-12-29,Arianespace,Commercial,SSO,"Kourou, French Guiana",Soyuz Launch Complex,5.3019,-52.8346,304,24,292,7,2,10,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/soyuz2520sta_image_20191210133244.jpg,,Government/Top Secret
Long March 4C | Yaogan-33(R),2020-12-27,China Aerospace Science and Technology Corporation,Government,,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 4 (SLS-2 / 603),40.960482,100.298059,135,70,304,13,7,34,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long_march_4c_image_20230801172338.jpeg,,
Long March 8  | XJY-7 & others,2020-12-22,China Aerospace Science and Technology Corporation,Government,SSO,"Wenchang Space Launch Site, People's Republic of China",201,19.618452,110.955356,10,4,303,5,2,33,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20201216110501.jpeg,,Government/Top Secret
Falcon 9 Block 5 | NROL-108,2020-12-19,SpaceX,Commercial,LEO,"Kennedy Space Center, FL, USA",Launch Complex 39A,28.60822681,-80.60428186,182,125,117,11,11,29,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20201217060406.jpeg,LZ-1,Government/Top Secret
Soyuz 2.1b/Fregat-M | OneWeb 4,2020-12-18,Arianespace,Commercial,PO,"Vostochny Cosmodrome, Siberia, Russian Federation",Cosmodrome Site 1S,51.884395,128.333932,6,6,291,1,1,9,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/soyuz25202.1b_image_20210520085907.jpeg,,Communications
PSLV-XL | CMS-01 (GSAT-12R),2020-12-17,Indian Space Research Organization,Government,GTO,"Satish Dhawan Space Centre, India",Satish Dhawan Space Centre First Launch Pad,13.733,80.235,77,49,73,2,2,2,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/pslv-xl252025_image_20201217073636.jpeg,,Communications
Electron | StriX-α (The Owl's Night Begins),2020-12-15,Rocket Lab,Commercial,SSO,"Onenui Station, Mahia Peninsula, New Zealand",Rocket Lab Launch Complex 1A,-39.262833,177.864469,17,17,17,7,7,7,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/electron_image_20190705175640.jpeg,,Earth Science
Angara A5/Briz-M | Dummy payload,2020-12-14,Khrunichev State Research and Production Space Center,Government,Direct-GEO,"Plesetsk Cosmodrome, Russian Federation",35/1,62.927319,40.574897,1641,3,186,7,1,2,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/angara2520a5_image_20190630234836.jpg,,Test Flight
Falcon 9 Block 5 | Sirius SXM-7,2020-12-13,SpaceX,Commercial,GTO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,811,117,116,20,14,28,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20201211135247.jpeg,JRTI,Communications
Delta IV Heavy | NROL-44,2020-12-10,United Launch Alliance,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 37B,28.5317,-80.56495,810,38,143,19,1,6,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/delta2520iv25_image_20200828105447.jpeg,,Government/Top Secret
Long March 11 | GECAM,2020-12-09,China Aerospace Science and Technology Corporation,Government,LEO,"Xichang Satellite Launch Center, People's Republic of China",Mobile Launcher Pad,28.242774,102.032944,151,2,302,13,2,32,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march252011_image_20190222031217.jpeg,,Astrophysics
Falcon 9 Block 5 | Dragon CRS-2 SpX-21,2020-12-06,SpaceX,Commercial,LEO,"Kennedy Space Center, FL, USA",Launch Complex 39A,28.60822681,-80.60428186,181,124,114,10,10,26,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20210520085648.jpeg,OCISLY,Resupply
Long March 3B/E | Gaofen 14,2020-12-06,China Aerospace Science and Technology Corporation,Government,SSO,"Xichang Satellite Launch Center, People's Republic of China",Launch Complex 3 (LC-3/LA-1),28.247209,102.02917,150,60,301,12,5,31,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march25203_image_20190224025008.jpeg,,Earth Science
"Soyuz 2.1b/Fregat-M | Gonets-M30, Gonets-M31, Gonets-M32",2020-12-03,Russian Space Forces,Government,LEO,"Plesetsk Cosmodrome, Russian Federation",43/3 (43L),62.9273,40.45,1640,222,115,6,2,6,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/soyuz_2.1b2ffr_image_20230802085359.jpg,,Communications
Soyuz STA/Fregat | Falcon Eye 2,2020-12-02,Arianespace,Commercial,SSO,"Kourou, French Guiana",Soyuz Launch Complex,5.3019,-52.8346,303,23,290,6,1,8,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/soyuz2520sta_image_20191210133244.jpg,,Government/Top Secret
H-IIA 202 | JDRS-1,2020-11-29,Mitsubishi Heavy Industries,Commercial,GTO,"Tanegashima Space Center, Japan",Yoshinobu Launch Complex LP-1,30.400813,130.977748,83,50,44,4,3,4,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/h-iia2520202_image_20190222031201.jpeg,,Communications
Falcon 9 Block 5 | Starlink 15,2020-11-25,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,809,116,113,18,13,25,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20201116063830.png,OCISLY,Communications
Long March 5  | Chang'e 5,2020-11-23,China Aerospace Science and Technology Corporation,Government,LO,"Wenchang Space Launch Site, People's Republic of China",101,19.614334,110.951011,9,6,300,4,3,30,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20201119165033.png,,Robotic Exploration
Falcon 9 Block 5 | Sentinel-6 Michael Freilich,2020-11-21,SpaceX,Commercial,LEO,"Vandenberg SFB, CA, USA",Space Launch Complex 4E,34.632,-120.611,687,84,112,1,1,24,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20201121073649.jpeg,LZ-4,Earth Science
Electron | Return to Sender,2020-11-20,Rocket Lab,Commercial,SSO,"Onenui Station, Mahia Peninsula, New Zealand",Rocket Lab Launch Complex 1A,-39.262833,177.864469,16,16,16,6,6,6,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/electron25202_image_20201120015105.jpg,PAC,Dedicated Rideshare
Falcon 9 Block 5 | Crew-1,2020-11-16,SpaceX,Commercial,LEO,"Kennedy Space Center, FL, USA",Launch Complex 39A,28.60822681,-80.60428186,180,123,111,9,9,23,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20210310075346.jpeg,JRTI,Human Exploration
Atlas V 531 | NROL-101,2020-11-13,United Launch Alliance,Commercial,MEO,"Cape Canaveral, FL, USA",Space Launch Complex 41,28.58341025,-80.58303644,808,99,142,17,5,5,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/atlas2520v252_image_20201110095715.jpeg,,Government/Top Secret
Long March 3B | Tiantong-1-02,2020-11-12,China Aerospace Science and Technology Corporation,Government,GTO,"Xichang Satellite Launch Center, People's Republic of China",Launch Complex 2 (LC-2),28.245564,102.026751,149,89,299,11,6,29,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march25203_image_20190224025008.jpeg,,Communications
PSLV-DL | EOS-01 (RISAT-2BR2),2020-11-07,Indian Space Research Organization,Government,LEO,"Satish Dhawan Space Centre, India",Satish Dhawan Space Centre First Launch Pad,13.733,80.235,76,48,72,1,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/pslv-dl_image_20191201202351.jpeg,,Earth Science
Ceres-1 | Tianqi-11,2020-11-07,Galactic Energy,Commercial,SSO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 95A,40.969117,100.343333,134,21,1,12,5,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/ceres-1_image_20230722081939.jpeg,,Communications
Long March 6  | Satellogic x 10,2020-11-06,China Aerospace Science and Technology Corporation,Government,LEO,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Complex 16,38.868222,111.58024,89,5,298,7,1,28,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long_march_6_image_20210709074933.jpg,,Earth Science
Falcon 9 Block 5 | GPS III SV04,2020-11-05,SpaceX,Commercial,MEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,807,115,110,16,12,22,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20201002141008.jpeg,OCISLY,Navigation
Electron | In Focus,2020-10-28,Rocket Lab,Commercial,SSO,"Onenui Station, Mahia Peninsula, New Zealand",Rocket Lab Launch Complex 1A,-39.262833,177.864469,15,15,15,5,5,5,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/electron_image_20190705175640.jpeg,,Dedicated Rideshare
Long March 2C | Yaogan-30-07,2020-10-26,China Aerospace Science and Technology Corporation,Government,LEO,"Xichang Satellite Launch Center, People's Republic of China",Launch Complex 3 (LC-3/LA-1),28.247209,102.02917,148,59,297,10,4,27,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long_march_2_image_20230803100234.jpeg,,Government/Top Secret
Soyuz 2.1b/Fregat | Glonass-K1 No. 15 (Kosmos 2547),2020-10-25,Russian Space Forces,Government,MEO,"Plesetsk Cosmodrome, Russian Federation",43/4 (43R),62.92883,40.457098,1639,303,114,5,4,5,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/soyuz_2.1b2ffr_image_20230802085343.jpg,,Navigation
Falcon 9 Block 5 | Starlink 14,2020-10-24,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,806,114,109,15,11,21,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20201015153955.png,JRTI,Communications
Falcon 9 Block 5 | Starlink 13,2020-10-18,SpaceX,Commercial,LEO,"Kennedy Space Center, FL, USA",Launch Complex 39A,28.60822681,-80.60428186,179,122,108,8,8,20,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20201013141634.png,OCISLY,Communications
Soyuz 2.1a | Soyuz MS-17,2020-10-14,Russian Federal Space Agency (ROSCOSMOS),Government,LEO,"Baikonur Cosmodrome, Republic of Kazakhstan",31/6,45.996034,63.564003,1515,387,292,7,6,4,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/soyuz_2.1a_image_20230805184309.jpg,,Human Exploration
New Shepard | NS-13,2020-10-13,Blue Origin,Commercial,Sub,"Corn Ranch, Van Horn, TX, USA",West Texas Suborbital Launch Site/ Corn Ranch,31.422878,-104.757121,13,13,13,1,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/new2520shepard_image_20200922210608.jpeg,CR,Suborbital
Long March 3B/E | Gaofen 13,2020-10-11,China Aerospace Science and Technology Corporation,Government,GTO,"Xichang Satellite Launch Center, People's Republic of China",Launch Complex 2 (LC-2),28.245564,102.026751,147,88,296,9,5,26,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march25203_image_20190224025008.jpeg,,Earth Science
Falcon 9 Block 5 | Starlink 12,2020-10-06,SpaceX,Commercial,LEO,"Kennedy Space Center, FL, USA",Launch Complex 39A,28.60822681,-80.60428186,178,121,107,7,7,19,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20200916132147.png,OCISLY,Communications
Antares 230+ | Cygnus CRS-2 NG-14 (S.S. Kalpana Chawla),2020-10-03,Northrop Grumman Space Systems,Commercial,LEO,"Wallops Island, Virginia, USA",Launch Area 0 A,37.8337,-75.4881,68,14,7,3,2,3,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/antares2520230_image_20200928165229.jpeg,,Resupply
"Soyuz 2.1b/Fregat-M | Gonets-M27, Gonets-M28, Gonets-M29 & others",2020-09-28,Russian Space Forces,Government,LEO,"Plesetsk Cosmodrome, Russian Federation",43/4 (43R),62.92883,40.457098,1638,302,113,4,3,4,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/soyuz_2.1b2ffr_image_20230802085359.jpg,,Communications
"Long March 4B | Huanjing 2A, 2B",2020-09-27,China Aerospace Science and Technology Corporation,Government,SSO,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Complex 9,38.863128,111.589567,88,48,295,6,6,25,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march25204_image_20190430065008.jpg,,Earth Science
Long March 4B | Haiyang 2C,2020-09-21,China Aerospace Science and Technology Corporation,Government,LEO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 4 (SLS-2 / 603),40.960482,100.298059,133,69,294,11,6,24,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march25204_image_20190430065008.jpg,,Earth Science
Long March 11 | Jilin-1 High Resolution 03B 01-06 & 03C 01-03,2020-09-15,China Aerospace Science and Technology Corporation,Government,SSO,Sea Launch,DeBo 3 mobile launch platform,34.311667,123.761111,41,1,293,1,1,23,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march252011_image_20190222031217.jpeg,,Earth Science
Long March 4B | Gaofen-11-02,2020-09-07,China Aerospace Science and Technology Corporation,Government,SSO,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Complex 9,38.863128,111.589567,87,47,292,5,5,22,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march25204_image_20190430065008.jpg,,Earth Science
Long March 2F/G | Chinese Reusable Space Vehicle,2020-09-04,China Aerospace Science and Technology Corporation,Government,LEO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 4 (SLS-1 / 921),40.957893,100.290944,131,14,291,9,1,21,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long_march_2_image_20210908195835.jpeg,,Test Flight
Starship SN6 | 150m Hop,2020-09-03,SpaceX,Commercial,Sub,"SpaceX Starbase, TX, USA",Launch Pad A,25.997116,-97.15503099856647,4,4,106,2,2,18,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/starship2520sn_image_20201207205027.jpeg,LZ,Test Flight
Falcon 9 Block 5 | Starlink 11,2020-09-03,SpaceX,Commercial,LEO,"Kennedy Space Center, FL, USA",Launch Complex 39A,28.60822681,-80.60428186,177,120,105,6,6,17,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20200826091906.png,OCISLY,Communications
Vega | SSMS PoC,2020-09-03,Arianespace,Commercial,SSO,"Kourou, French Guiana",Ariane Launch Area 1,5.236,-52.775,301,42,288,4,1,6,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/vega_image_20201111143622.jpeg,,Dedicated Rideshare
Electron | I Can’t Believe It’s Not Optical,2020-08-31,Rocket Lab,Commercial,LEO,"Onenui Station, Mahia Peninsula, New Zealand",Rocket Lab Launch Complex 1A,-39.262833,177.864469,14,14,14,4,4,4,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/electron_image_20190705175640.jpeg,,Earth Science
Falcon 9 Block 5 | SAOCOM 1B,2020-08-30,SpaceX,Commercial,SSO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,805,113,104,14,10,16,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20200903092221.jpeg,LZ-1,Communications
Long March 2D | Gaofen-9-05,2020-08-23,China Aerospace Science and Technology Corporation,Government,SSO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 4 (SLS-2 / 603),40.960482,100.298059,130,68,290,8,5,20,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march25202d_image_20190222031211.jpeg,,Earth Science
Falcon 9 Block 5 | Starlink 10,2020-08-18,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,804,112,103,13,9,15,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20200819201255.png,OCISLY,Communications
"Ariane 5 ECA+ | Galaxy 30, MEV-2 & BSAT-4B",2020-08-15,Arianespace,Commercial,GTO,"Kourou, French Guiana",Ariane Launch Area 3,5.239,-52.768,300,110,287,3,3,5,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/ariane_5_eca25_image_20200220090552.jpeg,,Communications
Falcon 9 Block 5 | Starlink 9,2020-08-07,SpaceX,Commercial,LEO,"Kennedy Space Center, FL, USA",Launch Complex 39A,28.60822681,-80.60428186,176,119,102,5,5,14,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20200609172008.png,OCISLY,Communications
Long March 2D | Gaofen-9-04,2020-08-06,China Aerospace Science and Technology Corporation,Government,SSO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 4 (SLS-2 / 603),40.960482,100.298059,129,67,289,7,4,19,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march25202d_image_20190222031211.jpeg,,Earth Science
Starship SN5 | 150m Hop,2020-08-04,SpaceX,Commercial,Sub,"SpaceX Starbase, TX, USA",Launch Pad A,25.997116,-97.15503099856647,3,3,101,1,1,13,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/starship2520sn_image_20201207205018.jpeg,LZ,Test Flight
Proton-M/Briz-M | Ekspress-80 & Ekspress-103,2020-07-30,Khrunichev State Research and Production Space Center,Government,GTO,"Baikonur Cosmodrome, Republic of Kazakhstan",200/39 (200L),46.039984,63.032093,1514,164,185,6,1,1,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/proton-m2520briz-m_image_20190224012317.jpeg,,Communications
Atlas V 541 | Mars 2020 (Perseverance rover & Ingenuity helicopter),2020-07-30,United Launch Alliance,Commercial,Helio-N/A,"Cape Canaveral, FL, USA",Space Launch Complex 41,28.58341025,-80.58303644,803,98,141,12,4,4,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/atlas2520v252_image_20200729144937.jpg,,Robotic Exploration
Long March 4B | Ziyuan-3-03,2020-07-25,China Aerospace Science and Technology Corporation,Government,SSO,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Complex 9,38.863128,111.589567,86,46,288,4,4,18,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march25204_image_20190430065008.jpg,,Earth Science
Soyuz 2.1a | Progress MS-15 (76P),2020-07-23,Russian Federal Space Agency (ROSCOSMOS),Government,LEO,"Baikonur Cosmodrome, Republic of Kazakhstan",31/6,45.996034,63.564003,1513,386,291,5,5,3,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/soyuz_2.1a_image_20230805184309.jpg,,Resupply
Long March 5  | Tianwen-1 (Mars Global Remote Sensing Orbiter and Small Rover),2020-07-23,China Aerospace Science and Technology Corporation,Government,Helio-N/A,"Wenchang Space Launch Site, People's Republic of China",101,19.614334,110.951011,8,5,287,3,2,17,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long_march_5_image_20231214064353.jpeg,,Robotic Exploration
Falcon 9 Block 5 | ANASIS-II,2020-07-20,SpaceX,Commercial,GTO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,802,111,100,11,8,12,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/falcon_9_image_20230807133459.jpeg,JRTI,Government/Top Secret
H-IIA 202 | Hope (Emirates Mars Mission),2020-07-19,Mitsubishi Heavy Industries,Commercial,Helio-N/A,"Tanegashima Space Center, Japan",Yoshinobu Launch Complex LP-1,30.400813,130.977748,82,49,43,3,2,3,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/h-iia2520202_image_20190222031201.jpeg,,Planetary Science
Minotaur IV | NROL-129,2020-07-15,Northrop Grumman Space Systems,Commercial,LEO,"Wallops Island, Virginia, USA",Launch Area 0 B,37.831,-75.4911,67,7,6,2,1,2,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/minotaur2520iv_image_20190830213429.jpeg,,Government/Top Secret
Long March 3B/E | APStar-6D,2020-07-09,China Aerospace Science and Technology Corporation,Government,GTO,"Xichang Satellite Launch Center, People's Republic of China",Launch Complex 3 (LC-3/LA-1),28.247209,102.02917,146,58,286,8,3,16,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march25203_image_20190224025008.jpeg,,Communications
Shavit-2 | Ofek-16,2020-07-06,Israel Aerospace Industries,Commercial,LEO,"Palmachim Airbase, State of Israel",Shavit Launch Pad,31.884444,34.680278,11,11,4,1,1,1,,,Government/Top Secret
Long March 2D | Chuangxin 3A (02),2020-07-04,China Aerospace Science and Technology Corporation,Government,SSO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 4 (SLS-2 / 603),40.960482,100.298059,127,66,285,5,3,15,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march25202d_image_20190222031211.jpeg,,Technology
Long March 4B | Gaofen Multimode,2020-07-03,China Aerospace Science and Technology Corporation,Government,SSO,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Complex 9,38.863128,111.589567,85,45,284,3,3,14,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march25204_image_20190430065008.jpg,,Earth Science
Falcon 9 Block 5 | GPS III SV03,2020-06-30,SpaceX,Commercial,MEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,801,110,99,10,7,11,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20200609095836.jpg,JRTI,Navigation
SpaceShipTwo | VSS Unity GF09,2020-06-25,Virgin Galactic,Private,Sub,Air launch to Suborbital flight,Spaceport America,32.9902778,-106.9719162,74,2,55,2,2,2,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/spaceshiptwo_image_20210522140909.jpeg,,Test Flight
Long March 3B | Beidou-3 G3,2020-06-23,China Aerospace Science and Technology Corporation,Government,GTO,"Xichang Satellite Launch Center, People's Republic of China",Launch Complex 2 (LC-2),28.245564,102.026751,145,87,283,7,4,13,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march25203_image_20200102181012.jpg,,Navigation
Long March 2D | Gaofen-9-03,2020-06-17,China Aerospace Science and Technology Corporation,Government,SSO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 4 (SLS-2 / 603),40.960482,100.298059,126,65,282,4,2,12,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long2520march25202d_image_20190222031211.jpeg,,Earth Science
Falcon 9 Block 5 | Starlink 8,2020-06-13,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,800,109,98,9,6,10,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20200609163402.png,OCISLY,Communications
Electron | Don't Stop Me Now,2020-06-13,Rocket Lab,Commercial,SSO,"Onenui Station, Mahia Peninsula, New Zealand",Rocket Lab Launch Complex 1A,-39.262833,177.864469,12,12,12,2,2,2,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/electron_image_20190705175640.jpeg,,Dedicated Rideshare
